experiment_type,conditions,results,gene_id,publication_id
Metabolomics,"{""temperature"": ""30\u00b0C"", ""ph"": 7.4, ""time"": ""44h""}","{""measurement"": 12.44, ""p_value"": 0.0222, ""fold_change"": -0.38}",936,36
WES,"{""temperature"": ""25\u00b0C"", ""ph"": 6.0, ""time"": ""8h""}","{""measurement"": 54.46, ""p_value"": 0.0217, ""fold_change"": -3.7}",210,53
ATAC-Seq,"{""temperature"": ""25\u00b0C"", ""ph"": 6.5, ""time"": ""47h""}","{""measurement"": 64.96, ""p_value"": 0.024, ""fold_change"": 4.05}",606,152
WGS,"{""temperature"": ""20\u00b0C"", ""ph"": 6.7, ""time"": ""47h""}","{""measurement"": 83.02, ""p_value"": 0.0068, ""fold_change"": 4.87}",509,283
ChIP-Seq,"{""temperature"": ""23\u00b0C"", ""ph"": 7.9, ""time"": ""40h""}","{""measurement"": 34.45, ""p_value"": 0.0467, ""fold_change"": 1.07}",211,463
WES,"{""temperature"": ""22\u00b0C"", ""ph"": 6.5, ""time"": ""9h""}","{""measurement"": 79.7, ""p_value"": 0.0043, ""fold_change"": -2.38}",119,338
Proteomics,"{""temperature"": ""35\u00b0C"", ""ph"": 7.8, ""time"": ""31h""}","{""measurement"": 97.03, ""p_value"": 0.0415, ""fold_change"": 2.49}",906,250
WES,"{""temperature"": ""24\u00b0C"", ""ph"": 7.3, ""time"": ""32h""}","{""measurement"": 54.19, ""p_value"": 0.0095, ""fold_change"": 0.98}",93,266
RNA-Seq,"{""temperature"": ""20\u00b0C"", ""ph"": 7.0, ""time"": ""46h""}","{""measurement"": 22.99, ""p_value"": 0.0016, ""fold_change"": -4.01}",877,89
Metabolomics,"{""temperature"": ""32\u00b0C"", ""ph"": 6.4, ""time"": ""48h""}","{""measurement"": 47.67, ""p_value"": 0.0181, ""fold_change"": -1.66}",439,206
WES,"{""temperature"": ""33\u00b0C"", ""ph"": 7.1, ""time"": ""24h""}","{""measurement"": 72.44, ""p_value"": 0.0214, ""fold_change"": -4.24}",728,210
Microarray,"{""temperature"": ""33\u00b0C"", ""ph"": 6.4, ""time"": ""14h""}","{""measurement"": 15.2, ""p_value"": 0.0009, ""fold_change"": -2.66}",238,194
Microarray,"{""temperature"": ""29\u00b0C"", ""ph"": 6.0, ""time"": ""26h""}","{""measurement"": 58.87, ""p_value"": 0.0117, ""fold_change"": -4.78}",681,268
Microarray,"{""temperature"": ""28\u00b0C"", ""ph"": 7.7, ""time"": ""44h""}","{""measurement"": 76.17, ""p_value"": 0.0496, ""fold_change"": -4.78}",461,222
ATAC-Seq,"{""temperature"": ""22\u00b0C"", ""ph"": 6.4, ""time"": ""19h""}","{""measurement"": 10.28, ""p_value"": 0.0007, ""fold_change"": -1.27}",46,364
RNA-Seq,"{""temperature"": ""23\u00b0C"", ""ph"": 6.3, ""time"": ""22h""}","{""measurement"": 13.06, ""p_value"": 0.0473, ""fold_change"": 4.76}",621,306
ChIP-Seq,"{""temperature"": ""37\u00b0C"", ""ph"": 7.7, ""time"": ""15h""}","{""measurement"": 75.66, ""p_value"": 0.0281, ""fold_change"": 3.71}",868,75
WGS,"{""temperature"": ""35\u00b0C"", ""ph"": 6.5, ""time"": ""43h""}","{""measurement"": 0.42, ""p_value"": 0.0257, ""fold_change"": 3.35}",611,187
RNA-Seq,"{""temperature"": ""28\u00b0C"", ""ph"": 6.7, ""time"": ""11h""}","{""measurement"": 79.58, ""p_value"": 0.0237, ""fold_change"": -2.0}",511,484
WGS,"{""temperature"": ""27\u00b0C"", ""ph"": 6.5, ""time"": ""7h""}","{""measurement"": 62.58, ""p_value"": 0.0005, ""fold_change"": -1.97}",208,383
Metabolomics,"{""temperature"": ""37\u00b0C"", ""ph"": 7.2, ""time"": ""30h""}","{""measurement"": 24.27, ""p_value"": 0.0018, ""fold_change"": -3.03}",317,145
WES,"{""temperature"": ""20\u00b0C"", ""ph"": 7.2, ""time"": ""13h""}","{""measurement"": 8.29, ""p_value"": 0.048, ""fold_change"": -3.4}",159,59
ATAC-Seq,"{""temperature"": ""20\u00b0C"", ""ph"": 7.8, ""time"": ""7h""}","{""measurement"": 98.67, ""p_value"": 0.0353, ""fold_change"": -1.3}",704,281
Microarray,"{""temperature"": ""23\u00b0C"", ""ph"": 7.1, ""time"": ""9h""}","{""measurement"": 19.2, ""p_value"": 0.0295, ""fold_change"": 4.46}",407,490
ATAC-Seq,"{""temperature"": ""34\u00b0C"", ""ph"": 6.1, ""time"": ""13h""}","{""measurement"": 45.08, ""p_value"": 0.003, ""fold_change"": -2.72}",212,250
ChIP-Seq,"{""temperature"": ""36\u00b0C"", ""ph"": 6.1, ""time"": ""26h""}","{""measurement"": 33.23, ""p_value"": 0.0489, ""fold_change"": -4.15}",852,40
Microarray,"{""temperature"": ""37\u00b0C"", ""ph"": 7.6, ""time"": ""43h""}","{""measurement"": 38.22, ""p_value"": 0.0164, ""fold_change"": 3.43}",9,381
Proteomics,"{""temperature"": ""36\u00b0C"", ""ph"": 6.1, ""time"": ""3h""}","{""measurement"": 28.24, ""p_value"": 0.0079, ""fold_change"": -3.94}",378,19
WGS,"{""temperature"": ""25\u00b0C"", ""ph"": 7.3, ""time"": ""20h""}","{""measurement"": 21.31, ""p_value"": 0.0366, ""fold_change"": -1.18}",86,325
ChIP-Seq,"{""temperature"": ""21\u00b0C"", ""ph"": 6.7, ""time"": ""33h""}","{""measurement"": 32.56, ""p_value"": 0.0172, ""fold_change"": 3.68}",530,462
ChIP-Seq,"{""temperature"": ""37\u00b0C"", ""ph"": 6.2, ""time"": ""40h""}","{""measurement"": 71.62, ""p_value"": 0.002, ""fold_change"": 1.39}",623,246
Metabolomics,"{""temperature"": ""30\u00b0C"", ""ph"": 7.4, ""time"": ""33h""}","{""measurement"": 3.51, ""p_value"": 0.0494, ""fold_change"": 2.24}",171,278
Proteomics,"{""temperature"": ""36\u00b0C"", ""ph"": 7.3, ""time"": ""38h""}","{""measurement"": 25.72, ""p_value"": 0.0356, ""fold_change"": 0.03}",176,259
ChIP-Seq,"{""temperature"": ""32\u00b0C"", ""ph"": 6.1, ""time"": ""24h""}","{""measurement"": 88.62, ""p_value"": 0.0291, ""fold_change"": -2.16}",745,32
Metabolomics,"{""temperature"": ""37\u00b0C"", ""ph"": 6.5, ""time"": ""16h""}","{""measurement"": 54.86, ""p_value"": 0.0289, ""fold_change"": 1.36}",858,221
Proteomics,"{""temperature"": ""31\u00b0C"", ""ph"": 7.2, ""time"": ""22h""}","{""measurement"": 67.48, ""p_value"": 0.0344, ""fold_change"": -2.32}",239,429
Proteomics,"{""temperature"": ""24\u00b0C"", ""ph"": 6.6, ""time"": ""24h""}","{""measurement"": 37.18, ""p_value"": 0.0221, ""fold_change"": 4.47}",672,112
RNA-Seq,"{""temperature"": ""37\u00b0C"", ""ph"": 6.7, ""time"": ""3h""}","{""measurement"": 63.26, ""p_value"": 0.0182, ""fold_change"": 2.65}",958,11
RNA-Seq,"{""temperature"": ""26\u00b0C"", ""ph"": 7.3, ""time"": ""39h""}","{""measurement"": 31.69, ""p_value"": 0.0468, ""fold_change"": 0.1}",422,319
WES,"{""temperature"": ""34\u00b0C"", ""ph"": 6.7, ""time"": ""7h""}","{""measurement"": 25.73, ""p_value"": 0.0254, ""fold_change"": 0.98}",918,239
WGS,"{""temperature"": ""30\u00b0C"", ""ph"": 6.3, ""time"": ""20h""}","{""measurement"": 8.33, ""p_value"": 0.0307, ""fold_change"": -0.26}",195,90
Metabolomics,"{""temperature"": ""25\u00b0C"", ""ph"": 7.4, ""time"": ""32h""}","{""measurement"": 99.7, ""p_value"": 0.0217, ""fold_change"": 2.55}",565,443
ATAC-Seq,"{""temperature"": ""27\u00b0C"", ""ph"": 6.9, ""time"": ""18h""}","{""measurement"": 82.75, ""p_value"": 0.0065, ""fold_change"": -2.97}",450,179
WES,"{""temperature"": ""25\u00b0C"", ""ph"": 7.6, ""time"": ""21h""}","{""measurement"": 15.5, ""p_value"": 0.011, ""fold_change"": -2.18}",967,143
ATAC-Seq,"{""temperature"": ""36\u00b0C"", ""ph"": 7.6, ""time"": ""36h""}","{""measurement"": 26.03, ""p_value"": 0.0276, ""fold_change"": -3.57}",253,266
WGS,"{""temperature"": ""28\u00b0C"", ""ph"": 7.7, ""time"": ""48h""}","{""measurement"": 85.1, ""p_value"": 0.0288, ""fold_change"": -0.96}",882,485
ATAC-Seq,"{""temperature"": ""35\u00b0C"", ""ph"": 7.8, ""time"": ""48h""}","{""measurement"": 56.88, ""p_value"": 0.0424, ""fold_change"": 4.07}",646,25
ATAC-Seq,"{""temperature"": ""30\u00b0C"", ""ph"": 7.7, ""time"": ""41h""}","{""measurement"": 11.84, ""p_value"": 0.0451, ""fold_change"": 3.3}",771,144
Microarray,"{""temperature"": ""28\u00b0C"", ""ph"": 7.0, ""time"": ""45h""}","{""measurement"": 63.22, ""p_value"": 0.0105, ""fold_change"": -4.6}",98,268
Microarray,"{""temperature"": ""26\u00b0C"", ""ph"": 7.1, ""time"": ""32h""}","{""measurement"": 4.67, ""p_value"": 0.024, ""fold_change"": -2.73}",959,358
Metabolomics,"{""temperature"": ""37\u00b0C"", ""ph"": 6.4, ""time"": ""2h""}","{""measurement"": 2.44, ""p_value"": 0.0147, ""fold_change"": 3.98}",147,307
WGS,"{""temperature"": ""29\u00b0C"", ""ph"": 6.0, ""time"": ""47h""}","{""measurement"": 70.16, ""p_value"": 0.0197, ""fold_change"": -1.84}",890,400
Microarray,"{""temperature"": ""30\u00b0C"", ""ph"": 6.9, ""time"": ""11h""}","{""measurement"": 77.22, ""p_value"": 0.0054, ""fold_change"": -4.56}",228,140
WES,"{""temperature"": ""28\u00b0C"", ""ph"": 7.9, ""time"": ""42h""}","{""measurement"": 51.67, ""p_value"": 0.0039, ""fold_change"": -1.79}",835,388
Metabolomics,"{""temperature"": ""37\u00b0C"", ""ph"": 7.7, ""time"": ""47h""}","{""measurement"": 26.53, ""p_value"": 0.036, ""fold_change"": -2.3}",281,250
Microarray,"{""temperature"": ""30\u00b0C"", ""ph"": 6.9, ""time"": ""23h""}","{""measurement"": 32.59, ""p_value"": 0.0456, ""fold_change"": -2.95}",860,481
ATAC-Seq,"{""temperature"": ""26\u00b0C"", ""ph"": 6.5, ""time"": ""42h""}","{""measurement"": 94.6, ""p_value"": 0.0334, ""fold_change"": 0.84}",953,372
WGS,"{""temperature"": ""21\u00b0C"", ""ph"": 7.8, ""time"": ""25h""}","{""measurement"": 39.4, ""p_value"": 0.0172, ""fold_change"": 1.25}",439,317
RNA-Seq,"{""temperature"": ""35\u00b0C"", ""ph"": 6.3, ""time"": ""39h""}","{""measurement"": 69.57, ""p_value"": 0.0284, ""fold_change"": -3.95}",264,412
Microarray,"{""temperature"": ""27\u00b0C"", ""ph"": 7.1, ""time"": ""7h""}","{""measurement"": 89.76, ""p_value"": 0.0071, ""fold_change"": -4.06}",369,455
ChIP-Seq,"{""temperature"": ""22\u00b0C"", ""ph"": 7.0, ""time"": ""20h""}","{""measurement"": 80.22, ""p_value"": 0.0236, ""fold_change"": -3.53}",470,54
RNA-Seq,"{""temperature"": ""33\u00b0C"", ""ph"": 6.4, ""time"": ""34h""}","{""measurement"": 36.65, ""p_value"": 0.0225, ""fold_change"": -2.17}",582,66
Proteomics,"{""temperature"": ""30\u00b0C"", ""ph"": 7.5, ""time"": ""34h""}","{""measurement"": 89.32, ""p_value"": 0.0034, ""fold_change"": -4.32}",245,279
ATAC-Seq,"{""temperature"": ""33\u00b0C"", ""ph"": 7.8, ""time"": ""26h""}","{""measurement"": 65.65, ""p_value"": 0.0193, ""fold_change"": 4.72}",391,463
Microarray,"{""temperature"": ""30\u00b0C"", ""ph"": 6.3, ""time"": ""39h""}","{""measurement"": 38.07, ""p_value"": 0.0184, ""fold_change"": 4.48}",834,366
RNA-Seq,"{""temperature"": ""27\u00b0C"", ""ph"": 7.0, ""time"": ""19h""}","{""measurement"": 48.67, ""p_value"": 0.0232, ""fold_change"": -2.35}",658,17
WGS,"{""temperature"": ""35\u00b0C"", ""ph"": 7.3, ""time"": ""23h""}","{""measurement"": 14.08, ""p_value"": 0.0087, ""fold_change"": 4.6}",293,348
Microarray,"{""temperature"": ""31\u00b0C"", ""ph"": 7.8, ""time"": ""21h""}","{""measurement"": 70.91, ""p_value"": 0.009, ""fold_change"": 0.79}",313,36
ATAC-Seq,"{""temperature"": ""23\u00b0C"", ""ph"": 6.2, ""time"": ""38h""}","{""measurement"": 16.36, ""p_value"": 0.0426, ""fold_change"": -0.32}",648,4
Microarray,"{""temperature"": ""30\u00b0C"", ""ph"": 6.9, ""time"": ""38h""}","{""measurement"": 45.6, ""p_value"": 0.0148, ""fold_change"": -3.39}",651,115
RNA-Seq,"{""temperature"": ""37\u00b0C"", ""ph"": 7.3, ""time"": ""21h""}","{""measurement"": 40.68, ""p_value"": 0.0311, ""fold_change"": 3.78}",467,474
ChIP-Seq,"{""temperature"": ""29\u00b0C"", ""ph"": 8.0, ""time"": ""2h""}","{""measurement"": 80.64, ""p_value"": 0.0095, ""fold_change"": -2.43}",615,297
WGS,"{""temperature"": ""26\u00b0C"", ""ph"": 7.5, ""time"": ""34h""}","{""measurement"": 89.49, ""p_value"": 0.043, ""fold_change"": 3.74}",373,238
Microarray,"{""temperature"": ""26\u00b0C"", ""ph"": 7.5, ""time"": ""7h""}","{""measurement"": 62.34, ""p_value"": 0.0343, ""fold_change"": -1.2}",76,258
ChIP-Seq,"{""temperature"": ""21\u00b0C"", ""ph"": 6.9, ""time"": ""29h""}","{""measurement"": 31.66, ""p_value"": 0.04, ""fold_change"": -3.13}",264,94
Metabolomics,"{""temperature"": ""24\u00b0C"", ""ph"": 6.6, ""time"": ""15h""}","{""measurement"": 77.33, ""p_value"": 0.0244, ""fold_change"": 1.94}",243,419
Microarray,"{""temperature"": ""30\u00b0C"", ""ph"": 7.4, ""time"": ""45h""}","{""measurement"": 46.44, ""p_value"": 0.036, ""fold_change"": 4.8}",512,60
Proteomics,"{""temperature"": ""24\u00b0C"", ""ph"": 7.2, ""time"": ""17h""}","{""measurement"": 27.53, ""p_value"": 0.0052, ""fold_change"": 3.06}",466,327
Microarray,"{""temperature"": ""28\u00b0C"", ""ph"": 7.5, ""time"": ""38h""}","{""measurement"": 1.27, ""p_value"": 0.0264, ""fold_change"": 0.45}",398,245
Metabolomics,"{""temperature"": ""21\u00b0C"", ""ph"": 6.1, ""time"": ""40h""}","{""measurement"": 7.25, ""p_value"": 0.0351, ""fold_change"": -3.17}",738,147
ATAC-Seq,"{""temperature"": ""24\u00b0C"", ""ph"": 7.2, ""time"": ""43h""}","{""measurement"": 59.42, ""p_value"": 0.0192, ""fold_change"": 4.2}",389,426
ChIP-Seq,"{""temperature"": ""35\u00b0C"", ""ph"": 7.3, ""time"": ""1h""}","{""measurement"": 95.45, ""p_value"": 0.0467, ""fold_change"": -4.55}",889,141
WES,"{""temperature"": ""34\u00b0C"", ""ph"": 7.6, ""time"": ""20h""}","{""measurement"": 71.0, ""p_value"": 0.035, ""fold_change"": -4.65}",675,384
Metabolomics,"{""temperature"": ""29\u00b0C"", ""ph"": 7.5, ""time"": ""40h""}","{""measurement"": 82.59, ""p_value"": 0.023, ""fold_change"": 4.79}",608,26
Microarray,"{""temperature"": ""28\u00b0C"", ""ph"": 6.0, ""time"": ""44h""}","{""measurement"": 70.37, ""p_value"": 0.0221, ""fold_change"": 1.64}",506,76
WES,"{""temperature"": ""33\u00b0C"", ""ph"": 6.2, ""time"": ""24h""}","{""measurement"": 95.08, ""p_value"": 0.0391, ""fold_change"": -2.51}",226,472
WES,"{""temperature"": ""29\u00b0C"", ""ph"": 7.8, ""time"": ""19h""}","{""measurement"": 86.38, ""p_value"": 0.0417, ""fold_change"": -0.53}",207,83
ATAC-Seq,"{""temperature"": ""24\u00b0C"", ""ph"": 6.8, ""time"": ""7h""}","{""measurement"": 94.02, ""p_value"": 0.0378, ""fold_change"": 3.23}",796,117
WGS,"{""temperature"": ""23\u00b0C"", ""ph"": 6.5, ""time"": ""43h""}","{""measurement"": 94.94, ""p_value"": 0.0106, ""fold_change"": 4.57}",335,393
WGS,"{""temperature"": ""36\u00b0C"", ""ph"": 7.3, ""time"": ""24h""}","{""measurement"": 83.1, ""p_value"": 0.0436, ""fold_change"": -3.58}",912,36
ATAC-Seq,"{""temperature"": ""25\u00b0C"", ""ph"": 6.2, ""time"": ""19h""}","{""measurement"": 34.19, ""p_value"": 0.0257, ""fold_change"": 3.0}",551,89
ATAC-Seq,"{""temperature"": ""26\u00b0C"", ""ph"": 6.2, ""time"": ""23h""}","{""measurement"": 84.15, ""p_value"": 0.0053, ""fold_change"": 1.95}",755,328
ChIP-Seq,"{""temperature"": ""33\u00b0C"", ""ph"": 7.7, ""time"": ""30h""}","{""measurement"": 12.16, ""p_value"": 0.0112, ""fold_change"": 3.43}",652,451
Microarray,"{""temperature"": ""36\u00b0C"", ""ph"": 7.1, ""time"": ""3h""}","{""measurement"": 88.12, ""p_value"": 0.0067, ""fold_change"": 1.57}",182,417
ChIP-Seq,"{""temperature"": ""30\u00b0C"", ""ph"": 6.5, ""time"": ""44h""}","{""measurement"": 36.26, ""p_value"": 0.0218, ""fold_change"": -0.84}",110,437
ATAC-Seq,"{""temperature"": ""24\u00b0C"", ""ph"": 7.7, ""time"": ""10h""}","{""measurement"": 75.88, ""p_value"": 0.0032, ""fold_change"": 3.54}",603,183
WGS,"{""temperature"": ""26\u00b0C"", ""ph"": 6.6, ""time"": ""38h""}","{""measurement"": 70.67, ""p_value"": 0.0351, ""fold_change"": 0.27}",154,298
Microarray,"{""temperature"": ""36\u00b0C"", ""ph"": 6.7, ""time"": ""5h""}","{""measurement"": 72.94, ""p_value"": 0.0085, ""fold_change"": -2.76}",15,135
WES,"{""temperature"": ""20\u00b0C"", ""ph"": 7.0, ""time"": ""21h""}","{""measurement"": 21.96, ""p_value"": 0.0325, ""fold_change"": -1.33}",29,15
Metabolomics,"{""temperature"": ""23\u00b0C"", ""ph"": 7.9, ""time"": ""4h""}","{""measurement"": 18.6, ""p_value"": 0.0101, ""fold_change"": 3.71}",184,283
Metabolomics,"{""temperature"": ""34\u00b0C"", ""ph"": 7.4, ""time"": ""18h""}","{""measurement"": 64.16, ""p_value"": 0.0179, ""fold_change"": 3.32}",135,288
Proteomics,"{""temperature"": ""22\u00b0C"", ""ph"": 6.6, ""time"": ""2h""}","{""measurement"": 18.51, ""p_value"": 0.0291, ""fold_change"": -1.7}",422,417
ChIP-Seq,"{""temperature"": ""20\u00b0C"", ""ph"": 6.9, ""time"": ""35h""}","{""measurement"": 43.47, ""p_value"": 0.0147, ""fold_change"": -0.76}",420,453
Microarray,"{""temperature"": ""32\u00b0C"", ""ph"": 7.7, ""time"": ""5h""}","{""measurement"": 49.42, ""p_value"": 0.0344, ""fold_change"": -0.45}",741,184
WGS,"{""temperature"": ""33\u00b0C"", ""ph"": 6.5, ""time"": ""45h""}","{""measurement"": 96.62, ""p_value"": 0.016, ""fold_change"": 2.5}",82,85
ATAC-Seq,"{""temperature"": ""29\u00b0C"", ""ph"": 7.6, ""time"": ""2h""}","{""measurement"": 87.07, ""p_value"": 0.045, ""fold_change"": 4.25}",812,482
ATAC-Seq,"{""temperature"": ""25\u00b0C"", ""ph"": 7.9, ""time"": ""22h""}","{""measurement"": 9.44, ""p_value"": 0.0128, ""fold_change"": 3.61}",744,327
RNA-Seq,"{""temperature"": ""37\u00b0C"", ""ph"": 6.1, ""time"": ""32h""}","{""measurement"": 78.19, ""p_value"": 0.045, ""fold_change"": -2.32}",520,116
RNA-Seq,"{""temperature"": ""33\u00b0C"", ""ph"": 7.3, ""time"": ""5h""}","{""measurement"": 40.01, ""p_value"": 0.0048, ""fold_change"": 4.0}",430,130
Proteomics,"{""temperature"": ""26\u00b0C"", ""ph"": 6.9, ""time"": ""42h""}","{""measurement"": 99.41, ""p_value"": 0.0027, ""fold_change"": 2.37}",269,95
WGS,"{""temperature"": ""27\u00b0C"", ""ph"": 6.7, ""time"": ""38h""}","{""measurement"": 44.7, ""p_value"": 0.0082, ""fold_change"": -4.39}",567,7
WGS,"{""temperature"": ""28\u00b0C"", ""ph"": 7.2, ""time"": ""47h""}","{""measurement"": 26.74, ""p_value"": 0.0201, ""fold_change"": -4.41}",927,234
Metabolomics,"{""temperature"": ""33\u00b0C"", ""ph"": 6.6, ""time"": ""29h""}","{""measurement"": 37.6, ""p_value"": 0.0286, ""fold_change"": 3.66}",870,189
WGS,"{""temperature"": ""27\u00b0C"", ""ph"": 6.1, ""time"": ""2h""}","{""measurement"": 38.78, ""p_value"": 0.0133, ""fold_change"": -2.51}",743,5
Proteomics,"{""temperature"": ""36\u00b0C"", ""ph"": 7.7, ""time"": ""37h""}","{""measurement"": 89.81, ""p_value"": 0.0397, ""fold_change"": 2.54}",453,170
WGS,"{""temperature"": ""24\u00b0C"", ""ph"": 7.9, ""time"": ""36h""}","{""measurement"": 19.35, ""p_value"": 0.0214, ""fold_change"": -0.52}",715,260
WES,"{""temperature"": ""36\u00b0C"", ""ph"": 7.2, ""time"": ""28h""}","{""measurement"": 49.85, ""p_value"": 0.0184, ""fold_change"": 2.75}",192,261
WGS,"{""temperature"": ""23\u00b0C"", ""ph"": 6.1, ""time"": ""44h""}","{""measurement"": 37.45, ""p_value"": 0.0307, ""fold_change"": -0.92}",518,384
Microarray,"{""temperature"": ""37\u00b0C"", ""ph"": 7.0, ""time"": ""4h""}","{""measurement"": 27.1, ""p_value"": 0.0002, ""fold_change"": 0.35}",644,330
Metabolomics,"{""temperature"": ""20\u00b0C"", ""ph"": 7.6, ""time"": ""3h""}","{""measurement"": 40.16, ""p_value"": 0.0456, ""fold_change"": -0.14}",406,378
WES,"{""temperature"": ""21\u00b0C"", ""ph"": 7.5, ""time"": ""33h""}","{""measurement"": 93.83, ""p_value"": 0.0408, ""fold_change"": -0.05}",516,116
Microarray,"{""temperature"": ""26\u00b0C"", ""ph"": 7.4, ""time"": ""27h""}","{""measurement"": 12.87, ""p_value"": 0.0318, ""fold_change"": -0.19}",292,182
ChIP-Seq,"{""temperature"": ""36\u00b0C"", ""ph"": 6.4, ""time"": ""35h""}","{""measurement"": 3.61, ""p_value"": 0.0309, ""fold_change"": 0.2}",984,160
Proteomics,"{""temperature"": ""24\u00b0C"", ""ph"": 7.7, ""time"": ""48h""}","{""measurement"": 58.01, ""p_value"": 0.0177, ""fold_change"": -0.12}",636,390
WGS,"{""temperature"": ""21\u00b0C"", ""ph"": 7.6, ""time"": ""6h""}","{""measurement"": 85.28, ""p_value"": 0.037, ""fold_change"": -1.66}",489,180
RNA-Seq,"{""temperature"": ""31\u00b0C"", ""ph"": 7.3, ""time"": ""14h""}","{""measurement"": 55.93, ""p_value"": 0.0026, ""fold_change"": -0.71}",851,190
Microarray,"{""temperature"": ""24\u00b0C"", ""ph"": 6.0, ""time"": ""1h""}","{""measurement"": 52.32, ""p_value"": 0.0337, ""fold_change"": 3.77}",413,83
ATAC-Seq,"{""temperature"": ""35\u00b0C"", ""ph"": 7.5, ""time"": ""21h""}","{""measurement"": 78.29, ""p_value"": 0.0352, ""fold_change"": -2.13}",844,465
ATAC-Seq,"{""temperature"": ""27\u00b0C"", ""ph"": 6.3, ""time"": ""32h""}","{""measurement"": 65.07, ""p_value"": 0.0363, ""fold_change"": 4.53}",997,194
Metabolomics,"{""temperature"": ""20\u00b0C"", ""ph"": 6.2, ""time"": ""2h""}","{""measurement"": 64.72, ""p_value"": 0.0021, ""fold_change"": 4.72}",427,70
Metabolomics,"{""temperature"": ""21\u00b0C"", ""ph"": 6.2, ""time"": ""11h""}","{""measurement"": 57.23, ""p_value"": 0.017, ""fold_change"": 2.48}",713,342
WES,"{""temperature"": ""21\u00b0C"", ""ph"": 7.3, ""time"": ""8h""}","{""measurement"": 56.08, ""p_value"": 0.0178, ""fold_change"": -1.67}",645,197
Microarray,"{""temperature"": ""21\u00b0C"", ""ph"": 7.8, ""time"": ""6h""}","{""measurement"": 36.07, ""p_value"": 0.0389, ""fold_change"": -2.55}",92,297
Microarray,"{""temperature"": ""31\u00b0C"", ""ph"": 6.6, ""time"": ""17h""}","{""measurement"": 67.08, ""p_value"": 0.0412, ""fold_change"": -3.96}",552,345
WES,"{""temperature"": ""30\u00b0C"", ""ph"": 7.8, ""time"": ""12h""}","{""measurement"": 24.19, ""p_value"": 0.0183, ""fold_change"": -3.92}",103,156
RNA-Seq,"{""temperature"": ""29\u00b0C"", ""ph"": 6.4, ""time"": ""3h""}","{""measurement"": 29.79, ""p_value"": 0.0239, ""fold_change"": -4.21}",812,273
ChIP-Seq,"{""temperature"": ""29\u00b0C"", ""ph"": 7.4, ""time"": ""13h""}","{""measurement"": 54.96, ""p_value"": 0.0313, ""fold_change"": -1.79}",437,82
Proteomics,"{""temperature"": ""32\u00b0C"", ""ph"": 6.8, ""time"": ""44h""}","{""measurement"": 51.64, ""p_value"": 0.0053, ""fold_change"": 2.84}",174,390
Metabolomics,"{""temperature"": ""21\u00b0C"", ""ph"": 6.8, ""time"": ""13h""}","{""measurement"": 90.18, ""p_value"": 0.0484, ""fold_change"": -0.16}",849,202
RNA-Seq,"{""temperature"": ""27\u00b0C"", ""ph"": 7.9, ""time"": ""37h""}","{""measurement"": 0.2, ""p_value"": 0.014, ""fold_change"": 0.02}",553,162
ChIP-Seq,"{""temperature"": ""30\u00b0C"", ""ph"": 6.6, ""time"": ""7h""}","{""measurement"": 14.85, ""p_value"": 0.0453, ""fold_change"": 2.89}",684,359
RNA-Seq,"{""temperature"": ""20\u00b0C"", ""ph"": 7.8, ""time"": ""15h""}","{""measurement"": 77.89, ""p_value"": 0.0224, ""fold_change"": -3.86}",165,90
Metabolomics,"{""temperature"": ""25\u00b0C"", ""ph"": 6.8, ""time"": ""8h""}","{""measurement"": 46.99, ""p_value"": 0.0438, ""fold_change"": -4.78}",51,223
Metabolomics,"{""temperature"": ""27\u00b0C"", ""ph"": 6.2, ""time"": ""37h""}","{""measurement"": 72.96, ""p_value"": 0.0079, ""fold_change"": -4.79}",938,391
Proteomics,"{""temperature"": ""37\u00b0C"", ""ph"": 7.5, ""time"": ""1h""}","{""measurement"": 67.76, ""p_value"": 0.0076, ""fold_change"": 4.59}",508,185
WES,"{""temperature"": ""37\u00b0C"", ""ph"": 6.5, ""time"": ""38h""}","{""measurement"": 69.69, ""p_value"": 0.0244, ""fold_change"": -3.68}",333,464
Proteomics,"{""temperature"": ""26\u00b0C"", ""ph"": 7.4, ""time"": ""43h""}","{""measurement"": 99.29, ""p_value"": 0.0373, ""fold_change"": -0.3}",697,438
Metabolomics,"{""temperature"": ""34\u00b0C"", ""ph"": 7.8, ""time"": ""16h""}","{""measurement"": 44.14, ""p_value"": 0.0401, ""fold_change"": -1.4}",2,348
ChIP-Seq,"{""temperature"": ""26\u00b0C"", ""ph"": 7.0, ""time"": ""19h""}","{""measurement"": 19.28, ""p_value"": 0.0381, ""fold_change"": -1.18}",21,122
WES,"{""temperature"": ""23\u00b0C"", ""ph"": 6.6, ""time"": ""34h""}","{""measurement"": 35.33, ""p_value"": 0.0143, ""fold_change"": -3.77}",359,128
WGS,"{""temperature"": ""28\u00b0C"", ""ph"": 6.6, ""time"": ""43h""}","{""measurement"": 73.82, ""p_value"": 0.0409, ""fold_change"": 4.18}",256,424
ChIP-Seq,"{""temperature"": ""20\u00b0C"", ""ph"": 7.5, ""time"": ""15h""}","{""measurement"": 22.92, ""p_value"": 0.0086, ""fold_change"": -1.74}",306,112
RNA-Seq,"{""temperature"": ""21\u00b0C"", ""ph"": 7.6, ""time"": ""16h""}","{""measurement"": 55.64, ""p_value"": 0.0201, ""fold_change"": -2.14}",267,84
